Time (UTC),Open,High,Low,Close,Volume 
2003.12.05 10:22:00,1.20707,1.20747,1.20688,1.20731,628.7
2003.12.05 10:23:00,1.20745,1.20775,1.20741,1.20757,590.5
2003.12.05 10:24:00,1.20747,1.20767,1.20727,1.20736,723.1
2003.12.05 10:25:00,1.2073200000000002,1.20741,1.20717,1.20735,348.7
2003.12.05 10:26:00,1.20706,1.20718,1.20688,1.20698,290.7
2003.12.05 10:27:00,1.20681,1.2071399999999999,1.2068,1.2070299999999998,557.6
2003.12.05 10:28:00,1.2068,1.2072100000000001,1.20679,1.20696,641.2
2003.12.05 10:29:00,1.20697,1.2071399999999999,1.20688,1.20695,693.5
2003.12.05 10:30:00,1.20706,1.20725,1.20697,1.2071399999999999,725.5
2003.12.05 10:31:00,1.2072100000000001,1.2073,1.2070299999999998,1.20713,609.8
2003.12.05 10:32:00,1.2073,1.2073,1.20705,1.2071,664.4
2003.12.05 10:33:00,1.20723,1.20738,1.2071100000000001,1.20712,536.3
2003.12.05 10:34:00,1.20718,1.20738,1.2071,1.20717,736.2
2003.12.05 10:35:00,1.20735,1.20755,1.2071399999999999,1.2073399999999999,816.8
2003.12.05 10:36:00,1.20725,1.20755,1.20719,1.20747,650.5
2003.12.05 10:37:00,1.20739,1.2075,1.2072100000000001,1.2072100000000001,596.3
2003.12.05 10:38:00,1.20737,1.20756,1.2072200000000002,1.20733,613.4
2003.12.05 10:39:00,1.20728,1.20746,1.2072100000000001,1.2072399999999999,425.8
2003.12.05 10:40:00,1.2074,1.20747,1.20705,1.2071399999999999,649.9
2003.12.05 10:41:00,1.20706,1.20736,1.20694,1.20726,226.5
2003.12.05 10:42:00,1.2071,1.20743,1.20704,1.20735,810.2
2003.12.05 10:43:00,1.20709,1.2073200000000002,1.2070100000000001,1.20709,527.2
2003.12.05 10:44:00,1.20736,1.20744,1.20717,1.20728,341.5
2003.12.05 10:45:00,1.20727,1.20743,1.2072200000000002,1.2074,500.3
2003.12.05 10:46:00,1.2074200000000002,1.2075200000000001,1.20728,1.20739,255.8
2003.12.05 10:47:00,1.20725,1.2074799999999999,1.2071100000000001,1.2073,305.0
2003.12.05 10:48:00,1.20725,1.20753,1.20717,1.20737,333.4
2003.12.05 10:49:00,1.20728,1.2075200000000001,1.2072,1.20729,719.6
2003.12.05 10:50:00,1.20745,1.2075,1.2072399999999999,1.2072399999999999,417.1
2003.12.05 10:51:00,1.2075200000000001,1.20753,1.20725,1.20739,609.7
2003.12.05 10:52:00,1.20738,1.20756,1.2073,1.20753,429.7
2003.12.05 10:53:00,1.20753,1.20766,1.20739,1.20754,410.5
2003.12.05 10:54:00,1.2077200000000001,1.2077200000000001,1.2073399999999999,1.20745,565.0
2003.12.05 10:55:00,1.20745,1.20754,1.20738,1.20741,188.7
2003.12.05 10:56:00,1.2074799999999999,1.20769,1.2074799999999999,1.20761,233.6
2003.12.05 10:57:00,1.20757,1.20779,1.20745,1.2077200000000001,487.6
2003.12.05 10:58:00,1.2078200000000001,1.2078799999999998,1.2072200000000002,1.20725,388.0
